buy_month	sell_month	pints_purchased	expected_profit
2026-01-01	2026-02-01	207684	-230373.47699999996
2026-01-01	2026-03-01	203458	-332674.1758000001
2026-01-01	2026-04-01	199401	-317685.6731999997
2026-01-01	2026-05-01	195503	-391260.15390000003
2026-01-01	2026-06-01	191754	-445818.46229999996
2026-01-01	2026-07-01	188146	-461550.3598999999
2026-01-01	2026-08-01	184672	-425595.0912
2026-01-01	2026-09-01	181323	-409409.20169999986
2026-01-01	2026-10-01	178094	-377420.36668000004
2026-01-01	2026-11-01	174978	-306739.93356000003
2026-01-01	2026-12-01	171969	-236044.64939999988
2026-02-01	2026-03-01	226372	-257520.7872
2026-02-01	2026-04-01	221361	-242545.24769999977
2026-02-01	2026-05-01	216567	-325673.4545999999
2026-02-01	2026-06-01	211976	-387375.54120000004
2026-02-01	2026-07-01	207576	-405946.0044
2026-02-01	2026-08-01	203355	-367482.82050000015
2026-02-01	2026-09-01	199302	-350851.24079999997
2026-02-01	2026-10-01	195407	-316895.44003999996
2026-02-01	2026-11-01	191662	-240635.47424000013
2026-02-01	2026-12-01	188058	-164569.55579999994
2026-03-01	2026-04-01	253528	-132476.83093333305
2026-03-01	2026-05-01	247259	-230107.46736666662
2026-03-01	2026-06-01	241293	-302649.78834999993
2026-03-01	2026-07-01	235608	-325724.13320000004
2026-03-01	2026-08-01	230184	-284031.7104
2026-03-01	2026-09-01	225005	-267133.43616666645
2026-03-01	2026-10-01	220054	-230738.35521333336
2026-03-01	2026-11-01	215316	-146921.59032000002
2026-03-01	2026-12-01	210777	-63640.60220000001
2026-04-01	2026-05-01	243783	-240930.73890000005
2026-04-01	2026-06-01	237981	-312219.1729500002
2026-04-01	2026-07-01	232450	-334762.8675000001
2026-04-01	2026-08-01	227169	-293411.4804000003
2026-04-01	2026-09-01	222123	-276520.92270000005
2026-04-01	2026-10-01	217296	-240377.18112000008
2026-04-01	2026-11-01	212675	-157383.75350000025
2026-04-01	2026-12-01	208246	-74885.26160000007
2026-05-01	2026-06-01	265981	-231301.51061666672
2026-05-01	2026-07-01	259089	-258523.3223500001
2026-05-01	2026-08-01	252546	-214478.89960000015
2026-05-01	2026-09-01	246325	-197692.2341666666
2026-05-01	2026-10-01	240403	-159600.34632666662
2026-05-01	2026-11-01	234760	-69884.92186666682
2026-05-01	2026-12-01	229375	18976.958333333383
2026-06-01	2026-07-01	284805	-184928.6332500001
2026-06-01	2026-08-01	276918	-138671.30380000017
2026-06-01	2026-09-01	269457	-122351.44180000004
2026-06-01	2026-10-01	262386	-82753.04592000006
2026-06-01	2026-11-01	255678	12991.85143999984
2026-06-01	2026-12-01	249304	107508.19493333329
2026-07-01	2026-08-01	287370	-106164.05700000012
2026-07-01	2026-09-01	279342	-90152.9748
2026-07-01	2026-10-01	271751	-50016.67738666681
2026-07-01	2026-11-01	264561	48188.904279999886
2026-07-01	2026-12-01	257743	144997.62036666667
2026-08-01	2026-09-01	266240	-132827.13599999997
2026-08-01	2026-10-01	259336	-93418.01392000011
2026-08-01	2026-11-01	252780	1511.6243999997998
2026-08-01	2026-12-01	246548	95266.14720000002
2026-09-01	2026-10-01	255167	-107991.77774000015
2026-09-01	2026-11-01	248818	-14187.602360000128
2026-09-01	2026-12-01	242777	78514.08179999987
2026-10-01	2026-11-01	238994	-53109.24668000002
2026-10-01	2026-12-01	233415	36926.252999999975
2026-11-01	2026-12-01	212666	-55250.62679999987
